Assessment Name,Remote Testing,Adaptive/IRT,Test Type,Duration,Description,URL
.NET Framework 4.5,Yes,Yes,K,30 min,Measures knowledge of .NET  and Application development.,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/
.NET MVC (New),Yes,No,K,17 min,Mrasures knowledge of MVC architecture and MVC validation and security.,https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/
.NET MVVM (New),Yes,No,K,5 min,Measures knowledge of MVVM pattern scenarios and Data validation.,https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/
.NET WCF (New),Yes,No,K,11 min,Measures knowledge of .NET Fundamental and Programming model and SOA along with programming WCF.,https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/
.NET WPF (New),Yes,No,K,9 min,"Measures Knowledge of .NET basics and XAML controls, also access WPF.",https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/
ADO.NET (New),Yes,No,K,10 min,Measures Knowledge of ADO.NET architecture and data provider objects.,https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/
.NET XAML (New),Yes,No,K,5 min,Measures Knowledge of XAML triggers and Data Binding.,https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/
Adobe Experience Manager (New),Yes,No,K,17 min,Measures Knowledge of Adobe and Troubleshooting in Adobe manager projects.,https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/
Adobe Photoshop CC,Yes,Yes,K,20 min,Measures Knowledge of Adobe photoshop and Design or Painting.,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/
Aeronautical Engineering (New),Yes,No,K,10 min,"Measures Knowledge of Aeronautics, Aerodynamics and space dynamics.",https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/
Aerospace Engineering (New),Yes,No,K,10 min,Measures Knowledge of aerodynamics including Flight and space dynamics.,https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/
Agile Software Development,Yes,No,K,7 min,Measures Knowledge of agile methodology and software development.,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/
Agile Testing (New),Yes,No,K,13 min ,Measures Knowledge of Tools and Techniques involved in Agile testing methodology.,https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/
AI Skills,yes,No,P,16 min,Measures Skills of Artificial Intelligence(AI).,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/
Amazon Web Services (AWS) Development (New),yes,No,K,6 min,Measures Knowledge of AWS delivery process and it's steps.,https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/
Android Development (New),yes,No,K,7 min,Measures Knowledge of User interface and it's components for android device.,https://www.shl.com/solutions/products/product-catalog/view/android-development-new/
Angular 6 (New),yes,No,K,11 min,"Measures Knowledge of Angular 6 and concepts like data binding , typescript.",https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/
AngularJS (New),yes,No,K,9 min,Measures Knowledge of AngularJS.,https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/
Apache Hadoop (New),yes,No,K,7 min,Measures Knowledge of Apache Hadoop and MapReduce.,https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/
Apache Hadoop Extensions (New),yes,No,K,9 min,Measures Knowledge of Apache Pig and Hive and Hbase.,https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/
Apache HBase (New),yes,No,K,5 min,Measures Knowledge of Apache Hbase and Hbase Client API and MapReduce concepts.,https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/
Apache Hive (New),yes,No,K,5 min,Tests Knowledge of Apache Hive and Hive query language.,https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/
Apache Kafka (New),yes,No,K,6 min,Tests Knowledge of Apache Kafka and clusters,https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/
Apache Pig (New),yes,No,K,6 min,Tests Knowledge of Apache Pig and PigLatin.,https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/
Apache Spark (New),yes,No,K,8 min,Tests Knowledge of Apache Spark and RDD operations.,https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/
ASP .NET with C# (New),yes,No,K,13 min ,Tests Knowledge of .NET and C# and OOPs concepts.,https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/
ASP.NET 4.5,yes,yes,K,30 min,Tests Knowledge of ASP .NET and Troubleshooting and Security. ,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/
Automata - Fix (New),yes,No,S,max 20 min,Tests Debugging Skills in C and C++ and Java.,https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/
Automata - SQL (New),yes,No,S,max 30 min,Measures Skills of SQL ,https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/
